Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
MEX01361,2019-03-05,,,0.0135,,,1042.0,,,0.09,0.18,7.9,,666.88,18.8,88.5,8.9,LAKE OF PATZCUARO 7,19.6489,-101.636,Mexico,,0.917,,,3.014,0.818,0.18,16.0,114.0,,,,0.214,0.0042,30.0,11.59,0.0056,9.875,,30.0,1.3,0.0026,0.0015,25.1,2.744,11.128,1.827,0.364,,,,,,,,393,0.010099999606609344,0.009449999779462814,0.08214999735355377,0.12330000102519989,0.11980000138282776,0.11665000021457672,0.05674999952316284,0.054349999874830246,0.04190000146627426,0.030750000849366188
MEX01361,2020-09-29,,,0.00207,,,1050.0,,,0.021,0.02,7.0,,672.0,22.7,84.8,8.9,LAKE OF PATZCUARO 7,19.6489,-101.636,Mexico,,2.039,,,5.085,0.539,0.23,22.0,101.3,,,,,0.01,15.0,3.0,0.005,14.399,,23.0,0.5,0.001,0.005,22.2,5.044,15.273,3.005,0.514,,,,,,,,393,0.022199999541044235,0.01785000041127205,0.08425000309944153,0.12380000203847885,0.11819999665021896,0.12399999797344208,0.07434999942779541,0.0718500018119812,0.05835000053048134,0.05014999955892563
MEX01362,2019-03-06,,,0.0035,,,1028.0,,,0.094,0.188,7.4,,657.92,18.6,93.5,8.0,LAKE OF PATZCUARO 4,19.6324,-101.6563,Mexico,,1.216,,,7.171,0.944,0.18,10.0,101.5,,,,0.192,0.0005,20.0,0.23,0.008,4.249,,90.0,1.7,0.0006,0.0025,19.0,6.889,6.233,5.673,0.303,,,,,,,,393,0.02370000071823597,0.015250000171363354,0.08129999786615372,0.12380000203847885,0.12269999831914902,0.11389999836683273,0.06274999678134918,0.06909999996423721,0.047200001776218414,0.04594999924302101
MEX01362,2020-09-30,,,0.00373,,,1050.0,,,0.021,0.02,4.3,,671.36,21.4,79.0,9.1,LAKE OF PATZCUARO 4,19.6324,-101.6563,Mexico,,2.203,,,3.84,0.583,0.23,26.0,73.1,,,,,0.01,15.0,3.0,0.0057,12.365,,75.0,0.5,0.001,0.005,19.3,3.799,13.931,1.596,0.506,,,,,,,,393,0.03714999929070473,0.03280000016093254,0.07819999754428864,0.1096000000834465,0.09085000306367874,0.11749999970197678,0.09080000221729279,0.09629999846220016,0.09594999998807907,0.08115000277757645
MEX01363,2019-03-06,,,0.0021,,,1013.0,,,0.093,0.185,6.5,,648.32,18.2,90.7,8.0,PATZCUARO AREA OF ISLANDS,19.6023,-101.6476,Mexico,,1.259,,,6.551,0.805,0.18,13.0,88.6,,,,0.299,0.0004,40.0,0.23,0.0063,4.352,,40.0,1.9,0.0002,0.0022,21.2,6.273,5.249,5.014,0.301,,,,,,,,393,0.008100000210106373,0.007449999917298555,0.08349999785423279,0.1266999989748001,0.12639999389648438,0.1197500005364418,0.059300001710653305,0.0551999993622303,0.04470000043511391,0.03269999846816063
MEX01363,2020-09-30,,,0.00447,,,1013.0,,,0.021,0.02,4.1,,666.88,20.3,96.2,9.1,PATZCUARO AREA OF ISLANDS,19.6023,-101.6476,Mexico,,2.201,,,4.328,0.665,0.18,40.0,59.8,,,,,0.01,20.0,3.0,0.0135,7.463,,9.0,0.5,0.0012,0.005,19.4,4.287,8.938,2.086,0.629,,,,,,,,393,0.008799999952316284,0.005950000137090683,0.07294999808073044,0.11240000277757645,0.10209999978542328,0.12890000641345978,0.07909999787807465,0.07729999721050262,0.06840000301599503,0.04729999974370003
MEX01365,2019-03-04,,,0.0092,,,952.0,,,0.021,0.279,7.6,,609.28,19.3,127.8,8.3,PATZCUARO SENO JANITZIO,19.5721,-101.6536,Mexico,,1.009,,,4.246,1.06,0.08,44.0,103.4,,,,0.277,0.0032,30.0,0.04,0.0087,10.994,,40.0,1.4,0.0045,0.0009,23.3,3.946,14.282,2.937,0.298,,,,,,,,393,0.017650000751018524,0.015150000341236591,0.07590000331401825,0.11479999870061874,0.11980000138282776,0.12735000252723694,0.07069999724626541,0.0685499981045723,0.054249998182058334,0.03954999893903732
MEX01365,2020-09-28,,,0.0023,,,870.0,,,0.021,0.02,4.6,,556.8,20.9,153.8,8.4,PATZCUARO SENO JANITZIO,19.5721,-101.6536,Mexico,,0.02,,,5.265,1.767,0.08,29.0,66.0,,,,,0.01,40.0,3.0,0.008,10.921,,1100.0,0.5,0.0139,0.005,21.0,5.224,12.707,5.204,0.517,,,,,,,,393,0.026799999177455902,0.023399999365210533,0.07020000368356705,0.10840000212192535,0.09600000083446503,0.13564999401569366,0.10634999722242355,0.09759999811649323,0.07750000059604645,0.0731000006198883
MEX01366,2020-09-28,,,0.0025,,,848.0,,,0.021,0.02,5.4,,542.72,20.9,157.5,8.9,LAKE OF PATZCUARO 2,19.5703,-101.6588,Mexico,,0.02,,,4.738,1.923,0.08,64.0,76.8,,,,,0.01,40.0,3.0,0.0165,11.036,,460.0,0.5,0.0084,0.005,22.1,4.697,13.071,4.677,0.521,,,,,,,,393,0.009050000458955765,0.004449999891221523,0.06700000166893005,0.10559999942779541,0.10760000348091125,0.1229500025510788,0.07900000363588333,0.07989999651908875,0.0628499984741211,0.050850000232458115
MEX01367,2019-03-06,,,0.0059,,,1041.0,,,0.076,0.151,7.5,,666.24,18.4,91.0,8.5,PATZCUARO SINE OF ERONGARICUARO,19.5905,-101.6887,Mexico,,1.541,,,7.595,0.696,0.18,20.0,101.6,,,,0.198,0.0019,20.0,0.18,0.0177,4.128,,430.0,1.0,0.0013,0.0031,15.2,7.368,5.488,5.827,0.223,,,,,,,,393,0.006599999964237213,0.006049999967217445,0.08084999769926071,0.12070000171661377,0.11249999701976776,0.11595000326633453,0.05494999885559082,0.05054999887943268,0.040150001645088196,0.02800000086426735
MEX01367,2020-09-30,,,0.00367,,,1048.0,,,0.021,0.026,4.5,,671.36,20.1,113.0,8.5,PATZCUARO SINE OF ERONGARICUARO,19.5905,-101.6887,Mexico,,2.033,,,3.957,0.58,0.13,60.0,61.3,,,,,0.01,15.0,3.0,0.005,13.776,,1100.0,0.7,0.0017,0.005,14.3,3.91,15.337,1.877,0.549,,,,,,,,393,0.009850000031292439,0.008750000037252903,0.06584999710321426,0.09889999777078629,0.0982000008225441,0.10845000296831131,0.06610000133514404,0.0653500035405159,0.05204999819397926,0.0406000018119812
MEX01368,2020-09-30,,,0.00308,,,1047.0,,,0.021,0.02,4.1,,668.8,20.2,111.0,8.9,LAKE OF PATZCUARO 3,19.596,-101.6813,Mexico,,2.231,,,3.401,0.58,0.13,62.0,51.4,,,,,0.01,20.0,3.0,0.0059,13.505,,150.0,0.5,0.0032,0.005,15.7,3.36,14.522,1.129,0.506,,,,,,,,393,0.051649998873472214,0.03815000131726265,0.05979999899864197,0.09224999696016312,0.08320000022649765,0.11739999800920486,0.09825000166893005,0.11339999735355377,0.09149999916553497,0.09380000084638596
MEX01371,2019-03-04,,,0.0146,,,709.0,,,0.016,0.15,4.7,,453.76,21.6,74.5,7.3,LAKE OF PATZCUARO 1,19.5596,-101.613,Mexico,,1.012,,,3.247,1.349,0.18,29.0,68.8,,,,0.178,0.0023,20.0,0.03,0.0066,8.07,,30.0,1.0,0.0023,0.0007,24.0,3.081,9.481,2.069,0.336,,,,,,,,393,0.04580000042915344,0.0251499991863966,0.05700000002980232,0.0851999968290329,0.06970000267028809,0.08659999817609787,0.07514999806880951,0.09025000035762787,0.047600001096725464,0.0812000036239624
