CHL00280;2016-08-24;09:00;;Co-Tot;0;<;0.02;mg/l;Suspect
CHL00280;2016-11-18;11:00;;Pb-Tot;0;<;0.01;mg/l;Suspect
CHL00280;2016-11-18;11:00;;Zn-Tot;0;<;0.005;mg/l;Suspect
CHL00280;2016-05-19;18:50;;Ni-Tot;0;<;0.025;mg/l;Suspect
CHL00280;2016-05-19;18:50;;Co-Tot;0;<;0.02;mg/l;Suspect
CHL00280;2016-05-19;18:50;;As-Tot;0;<;0.0005;mg/l;Suspect
CHL00280;2015-10-22;18:05;;B-Tot;0;<;0.5;mg/l;Suspect
CHL00280;2015-05-15;06:50;;Pb-Tot;0;<;0.035;mg/l;Suspect
CHL00280;2015-05-15;06:50;;Cl-Tot;0;<;1.25;mg/l;Suspect
CHL00280;2015-05-15;06:50;;Cd-Tot;0;<;5.0;µg/l;Suspect
CHL00280;2015-05-15;06:50;;Hg-Tot;0;<;1.0;µg/l;Suspect
CHL00280;2015-05-15;06:50;;Ni-Tot;0;<;0.025;mg/l;Suspect
CHL00280;2015-05-15;06:50;;Zn-Tot;0;<;0.005;mg/l;Suspect
CHL00280;2018-04-17;12:48;;Zn-Tot;0;<;0.005;mg/l;Suspect
CHL00280;2017-11-21;12:48;;Cd-Tot;0;<;5.0;µg/l;Suspect
CHL00280;2018-01-23;13:09;;Al-Tot;0;<;0.3;mg/l;Suspect
CHL00280;2015-02-25;18:11;;Mo-Tot;0;<;0.025;mg/l;Suspect
CHL00280;2015-02-25;18:11;;Cr-Tot;0;<;0.025;mg/l;Suspect
CHL00280;2015-07-21;15:15;;Ni-Tot;0;<;0.025;mg/l;Suspect
CHL00280;2015-07-21;15:15;;Cl-Tot;0;<;1.25;mg/l;Suspect
CHL00280;2016-02-24;14:00;;Ag-Tot;0;<;5.0;µg/l;Suspect
CHL00280;2016-02-24;14:00;;Co-Tot;0;<;0.02;mg/l;Suspect
CHL00280;2016-02-24;14:00;;Cd-Tot;0;<;5.0;µg/l;Suspect
CHL00280;2016-02-24;14:00;;Ni-Tot;0;<;0.025;mg/l;Suspect
CHL00280;2016-08-24;09:00;;Ni-Tot;0;<;0.025;mg/l;Suspect
CHL00280;2016-08-24;09:00;;As-Tot;0;<;0.0005;mg/l;Suspect
CHL00280;2016-08-24;09:00;;Se-Tot;0;<;0.0005;mg/l;Suspect
CHL00280;2016-11-18;11:00;;Ni-Tot;0;<;0.025;mg/l;Suspect
CHL00280;2016-11-18;11:00;;Ag-Tot;0;<;5.0;µg/l;Suspect
CHL00280;2016-05-19;18:50;;COD;0;<;0.5;mg/l;Suspect
CHL00280;2016-05-19;18:50;;Cu-Tot;0;<;0.01;mg/l;Suspect
CHL00280;2016-05-19;18:50;;Cl-Tot;0;<;1.25;mg/l;Suspect
CHL00280;2015-10-22;18:05;;Se-Tot;0;<;0.0005;mg/l;Suspect
CHL00280;2015-10-22;18:05;;Cu-Tot;0;<;0.01;mg/l;Suspect
CHL00280;2017-11-21;12:48;;Zn-Tot;0;<;0.005;mg/l;Suspect
CHL00280;2017-11-21;12:48;;Al-Tot;0;<;0.3;mg/l;Suspect
CHL00280;2018-07-10;13:03;;Al-Tot;0;<;0.3;mg/l;Suspect
CHL00280;2015-02-25;18:11;;Cu-Tot;0;<;0.01;mg/l;Suspect
CHL00280;2015-02-25;18:11;;Se-Tot;0;<;0.0005;mg/l;Suspect
CHL00280;2015-07-21;15:15;;Pb-Tot;0;<;0.035;mg/l;Suspect
CHL00280;2015-07-21;15:15;;Cu-Tot;0;<;0.01;mg/l;Suspect
CHL00280;2015-07-21;15:15;;B-Tot;0;<;0.5;mg/l;Suspect
CHL00280;2015-07-21;15:15;;Ag-Tot;0;<;5.0;µg/l;Suspect
CHL00280;2016-02-24;14:00;;Zn-Tot;0;<;0.005;mg/l;Suspect
CHL00280;2016-02-24;14:00;;Cu-Tot;0;<;0.01;mg/l;Suspect
CHL00280;2016-02-24;14:00;;Cl-Tot;0;<;1.25;mg/l;Suspect
CHL00280;2016-02-24;14:00;;As-Tot;0;<;0.0005;mg/l;Suspect
CHL00280;2016-08-24;09:00;;Pb-Tot;0;<;0.01;mg/l;Suspect
CHL00280;2016-08-24;09:00;;B-Tot;0;<;0.5;mg/l;Suspect
CHL00280;2016-08-24;09:00;;NOxN;0;<;0.005;mg/l;Suspect
CHL00531;2016-10-17;12:15;;DRP;0;<;0.0015;mg/l;Suspect
CHL00531;2016-06-13;15:40;;Zn-Dis;0;<;0.0025;mg/l;Suspect
CHL00531;2018-11-12;09:45;;BOD;0;<;1.0;mg/l;Suspect
