TURB,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
19.3,0.0031999999191612,0.0046000001020729,0.0313999988138675,0.0421000011265277,0.0445999987423419,0.0399000011384487,0.0175999999046325,0.0153999999165534,0.0109999999403953,0.0076000001281499
15.1,0.05180000141263,0.0456999987363815,0.0804999992251396,0.0940999984741211,0.0947000011801719,0.0996999964118003,0.0689999982714653,0.0671999976038932,0.0627999976277351,0.0595000013709068
14.0,0.0116999996826052,0.0118000004440546,0.0366000011563301,0.048599999397993,0.048599999397993,0.0500999987125396,0.0201999992132186,0.0208000000566244,0.015599999576807,0.0127999996766448
14.9,0.0116999996826052,0.0118000004440546,0.0366000011563301,0.048599999397993,0.048599999397993,0.0500999987125396,0.0201999992132186,0.0208000000566244,0.015599999576807,0.0127999996766448
13.4,0.0560000017285347,0.048200000077486,0.0826999992132186,0.0948000028729438,0.0979000031948089,0.0949999988079071,0.0731000006198883,0.0685999989509582,0.0749000012874603,0.0625
14.4,0.0054000001400709,0.0055999998003244,0.033900000154972,0.0469000004231929,0.0461999997496604,0.0416000001132488,0.0130000002682209,0.0131999999284744,0.0131000000983476,0.0065999999642372
13.8,0.0054000001400709,0.0055999998003244,0.033900000154972,0.0469000004231929,0.0461999997496604,0.0416000001132488,0.0130000002682209,0.0131999999284744,0.0131000000983476,0.0065999999642372
13.9,0.0362999998033046,0.0309999994933605,0.0702999979257583,0.0811000019311904,0.0771000012755394,0.0725999996066093,0.0511000007390975,0.0485000014305114,0.0502000004053115,0.0438000001013278
13.1,0.0362999998033046,0.0309999994933605,0.0702999979257583,0.0811000019311904,0.0771000012755394,0.0725999996066093,0.0511000007390975,0.0485000014305114,0.0502000004053115,0.0438000001013278
13.4,0.0046999999321997,0.0031999999191612,0.0291000008583068,0.0364999994635582,0.0337999984622001,0.033900000154972,0.0126000000163912,0.0120999999344348,0.0115000000223517,0.0074000000022351
11.8,0.0046999999321997,0.0031999999191612,0.0291000008583068,0.0364999994635582,0.0337999984622001,0.033900000154972,0.0126000000163912,0.0120999999344348,0.0115000000223517,0.0074000000022351
12.3,0.0173000004142522,0.0160000007599592,0.048700001090765,0.0559000000357627,0.0526000000536441,0.0500999987125396,0.0272000003606081,0.0254999995231628,0.0243999995291233,0.0175000000745058
11.2,0.0035000001080334,0.0028999999631196,0.0281000006943941,0.0419999994337558,0.0368999987840652,0.0351999998092651,0.0115000000223517,0.0122999995946884,0.0118000004440546,0.0051000001840293
10.3,0.0186000000685453,0.0163000002503395,0.0434999987483024,0.0579000003635883,0.0489999987185001,0.0537000000476837,0.031599998474121,0.0299999993294477,0.0285999998450279,0.0249000005424022
9.2,0.0186000000685453,0.0163000002503395,0.0434999987483024,0.0579000003635883,0.0489999987185001,0.0537000000476837,0.031599998474121,0.0299999993294477,0.0285999998450279,0.0249000005424022
10.1,0.0097000002861022,0.0082000000402331,0.035300001502037,0.0469000004231929,0.0452000014483928,0.0364000014960765,0.0181000009179115,0.0198999997228384,0.0208999998867511,0.0142000000923872
12.4,0.0097000002861022,0.0082000000402331,0.035300001502037,0.0469000004231929,0.0452000014483928,0.0364000014960765,0.0181000009179115,0.0198999997228384,0.0208999998867511,0.0142000000923872
8.9,0.0071000000461936,0.0048000002279877,0.0333999991416931,0.0395000018179416,0.0346999987959861,0.0294000003486871,0.0148999998345971,0.0132999997586011,0.0109999999403953,0.0089999996125698
9.9,0.0639000013470649,0.0524999983608722,0.1018999963998794,0.0750000029802322,0.0644000023603439,0.0732999965548515,0.0723000019788742,0.0741999968886375,0.0988000035285949,0.0724999979138374
10.0,0.0639000013470649,0.0524999983608722,0.1018999963998794,0.0750000029802322,0.0644000023603439,0.0732999965548515,0.0723000019788742,0.0741999968886375,0.0988000035285949,0.0724999979138374
14.8,0.0120999999344348,0.0125000001862645,0.0443000011146068,0.050500001758337,0.0502999983727932,0.0430999994277954,0.0215000007301569,0.0252999998629093,0.0181000009179115,0.0199999995529651
9.5,0.0054000001400709,0.0049000000581145,0.0276999995112419,0.0390999987721443,0.0333999991416931,0.0295000001788139,0.0098999999463558,0.0109000001102685,0.0094999996945261,0.008899999782443
9.2,0.0054000001400709,0.0049000000581145,0.0276999995112419,0.0390999987721443,0.0333999991416931,0.0295000001788139,0.0098999999463558,0.0109000001102685,0.0094999996945261,0.008899999782443
8.8,0.0113000003620982,0.0096000004559755,0.0185000002384185,0.0216000005602836,0.0160000007599592,0.0153000000864267,0.0114000001922249,0.0109000001102685,0.0087999999523162,0.0092000002041459
9.2,0.0113000003620982,0.0096000004559755,0.0185000002384185,0.0216000005602836,0.0160000007599592,0.0153000000864267,0.0114000001922249,0.0109000001102685,0.0087999999523162,0.0092000002041459
8.1,0.0020999999251216,0.0028999999631196,0.0281000006943941,0.0357000008225441,0.0261000003665685,0.02449999935925,0.0099999997764825,0.0060999998822808,0.0019000000320374,0.0024999999441206
22.8,0.0063999998383224,0.0046000001020729,0.0230000000447034,0.0335999988019466,0.0379000008106231,0.0289999991655349,0.0153999999165534,0.0137999998405575,0.0144999995827674,0.0065000001341104
14.6,0.0063999998383224,0.0046000001020729,0.0230000000447034,0.0335999988019466,0.0379000008106231,0.0289999991655349,0.0153999999165534,0.0137999998405575,0.0144999995827674,0.0065000001341104
18.7,0.00089999998454,0.001700000022538,0.0142999999225139,0.0288999993354082,0.0368000008165836,0.0309999994933605,0.0111999996006488,0.0093999998643994,0.0115000000223517,0.0043000001460313
15.3,0.0013999999500811,0.0020999999251216,0.0166999995708465,0.0245999991893768,0.033500000834465,0.0294000003486871,0.0089999996125698,0.0092000002041459,0.0078999996185302,0.0041999998502433
15.9,0.0015000000130385,0.001300000003539,0.0209999997168779,0.0285999998450279,0.0324999988079071,0.0305000003427267,0.0104000000283122,0.0114000001922249,0.0076999999582767,0.0041000000201165
144.0,0.002199999988079,0.00179999996908,0.0187999997287988,0.0300999991595745,0.0357999987900257,0.0322000011801719,0.0130000002682209,0.008899999782443,0.0085000004619359,0.0051000001840293
14.3,0.002199999988079,0.00179999996908,0.0187999997287988,0.0300999991595745,0.0357999987900257,0.0322000011801719,0.0130000002682209,0.008899999782443,0.0085000004619359,0.0051000001840293
14.9,0.0023000000510364,0.0015999999595806,0.0228000003844499,0.0294000003486871,0.032600000500679,0.0297999996691942,0.008899999782443,0.0098999999463558,0.0063999998383224,0.0048000002279877
14.4,0.0031000000890344,0.0038000000640749,0.024100000038743,0.0331000015139579,0.0366000011563301,0.0322000011801719,0.0120999999344348,0.0104999998584389,0.0087000001221895,0.0038999998942017
14.5,0.0031000000890344,0.0038000000640749,0.024100000038743,0.0331000015139579,0.0366000011563301,0.0322000011801719,0.0120999999344348,0.0104999998584389,0.0087000001221895,0.0038999998942017
16.0,0.0062000001780688,0.0041000000201165,0.0359000004827976,0.0388999991118907,0.0423000007867813,0.0379000008106231,0.0166999995708465,0.0172000005841255,0.0133999995887279,0.0086000002920627
16.6,0.0062000001780688,0.0041000000201165,0.0359000004827976,0.0388999991118907,0.0423000007867813,0.0379000008106231,0.0166999995708465,0.0172000005841255,0.0133999995887279,0.0086000002920627
10.4,0.0071999998763203,0.0054000001400709,0.0384999997913837,0.049100000411272,0.0348999984562397,0.0474999994039535,0.0269000008702278,0.0252999998629093,0.0207000002264976,0.0170000009238719
10.1,0.0071999998763203,0.0054000001400709,0.0384999997913837,0.049100000411272,0.0348999984562397,0.0474999994039535,0.0269000008702278,0.0252999998629093,0.0207000002264976,0.0170000009238719
9.1,0.0100999996066093,0.0094999996945261,0.0381999984383583,0.0498999990522861,0.0384999997913837,0.0439000017940998,0.0307999998331069,0.0293000005185604,0.0272000003606081,0.0233999993652105
8.0,0.0100999996066093,0.0094999996945261,0.0381999984383583,0.0498999990522861,0.0384999997913837,0.0439000017940998,0.0307999998331069,0.0293000005185604,0.0272000003606081,0.0233999993652105
6.9,0.0568000003695488,0.0474999994039535,0.0741000026464462,0.0833000019192695,0.0749000012874603,0.0798999965190887,0.0724000036716461,0.0715000033378601,0.0812999978661537,0.0692000016570091
6.4,0.0568000003695488,0.0474999994039535,0.0741000026464462,0.0833000019192695,0.0749000012874603,0.0798999965190887,0.0724000036716461,0.0715000033378601,0.0812999978661537,0.0692000016570091
3.2,0.0091000003740191,0.0066999997943639,0.0208000000566244,0.031199999153614,0.0236000008881092,0.0208999998867511,0.0151000004261732,0.0131999999284744,0.0147000001743435,0.013600000180304
2.8,0.0091000003740191,0.0066999997943639,0.0208000000566244,0.031199999153614,0.0236000008881092,0.0208999998867511,0.0151000004261732,0.0131999999284744,0.0147000001743435,0.013600000180304
2.6,0.0335999988019466,0.0266999993473291,0.0443000011146068,0.0529000014066696,0.045499999076128,0.0465999990701675,0.0362999998033046,0.0372000001370906,0.035300001502037,0.0328000001609325
2.5,0.0082999998703598,0.0054999999701976,0.0329000018537044,0.0293000005185604,0.0251000002026557,0.019200000911951,0.016499999910593,0.0163000002503395,0.0209999997168779,0.0156999994069337
2.8,0.0082999998703598,0.0054999999701976,0.0329000018537044,0.0293000005185604,0.0251000002026557,0.019200000911951,0.016499999910593,0.0163000002503395,0.0209999997168779,0.0156999994069337
1.9,0.0249000005424022,0.0208999998867511,0.0474000014364719,0.0483999997377395,0.0416000001132488,0.0331000015139579,0.0296000000089406,0.0320000015199184,0.0355000011622905,0.0274000000208616
2.8,0.0063999998383224,0.0038999998942017,0.0227000005543231,0.0264999996870756,0.0225000008940696,0.0175000000745058,0.008899999782443,0.0083999997004866,0.012699999846518,0.0116999996826052
1.8,0.0392999984323978,0.0331000015139579,0.0537000000476837,0.0627000033855438,0.0538999997079372,0.049100000411272,0.0414000004529953,0.0401000007987022,0.0425999984145164,0.0381999984383583
1.4,0.0392999984323978,0.0331000015139579,0.0537000000476837,0.0627000033855438,0.0538999997079372,0.049100000411272,0.0414000004529953,0.0401000007987022,0.0425999984145164,0.0381999984383583
1.0,0.0065999999642372,0.0048000002279877,0.0219000000506639,0.0281000006943941,0.0200999993830919,0.018300000578165,0.0146000003442168,0.0135000003501772,0.0109999999403953,0.010700000450015
1.0,0.0065999999642372,0.0048000002279877,0.0219000000506639,0.0281000006943941,0.0200999993830919,0.018300000578165,0.0146000003442168,0.0135000003501772,0.0109999999403953,0.010700000450015
2.3,0.0093000000342726,0.0074000000022351,0.0284000001847744,0.0333999991416931,0.0232999995350837,0.0188999995589256,0.0126000000163912,0.0122999995946884,0.012699999846518,0.0104000000283122
1.3,0.0093000000342726,0.0074000000022351,0.0284000001847744,0.0333999991416931,0.0232999995350837,0.0188999995589256,0.0126000000163912,0.0122999995946884,0.012699999846518,0.0104000000283122
1.7,0.0059000002220273,0.0054000001400709,0.0237000007182359,0.0303000006824731,0.0164000000804662,0.0163000002503395,0.0087999999523162,0.0094999996945261,0.0104999998584389,0.0070000002160668
1.2,0.0048000002279877,0.0052000000141561,0.0163000002503395,0.026300000026822,0.0187999997287988,0.0173000004142522,0.0098999999463558,0.0085000004619359,0.009800000116229,0.0074000000022351
1.0,0.0307000000029802,0.0281000006943941,0.0412000007927417,0.0471000000834465,0.035300001502037,0.0377999991178512,0.033500000834465,0.0350000001490116,0.0447000004351139,0.0342000015079975
1.0,0.0307000000029802,0.0281000006943941,0.0412000007927417,0.0471000000834465,0.035300001502037,0.0377999991178512,0.033500000834465,0.0350000001490116,0.0447000004351139,0.0342000015079975
1.9,0.003400000045076,0.0027000000700354,0.0168999992311,0.0443000011146068,0.0207000002264976,0.033500000834465,0.0113000003620982,0.0100999996066093,0.0096000004559755,0.0080000003799796
3.6,0.003400000045076,0.0027000000700354,0.0168999992311,0.0443000011146068,0.0207000002264976,0.033500000834465,0.0113000003620982,0.0100999996066093,0.0096000004559755,0.0080000003799796
12.0,0.0031000000890344,0.003000000026077,0.0324000008404254,0.0434000007808208,0.0320000015199184,0.0412000007927417,0.0167999994009733,0.0171000007539987,0.0124000003561377,0.0074000000022351
10.5,0.0031000000890344,0.003000000026077,0.0324000008404254,0.0434000007808208,0.0320000015199184,0.0412000007927417,0.0167999994009733,0.0171000007539987,0.0124000003561377,0.0074000000022351
10.5,0.0153000000864267,0.0165999997407197,0.0502999983727932,0.0675999969244003,0.0520999990403652,0.0666999965906143,0.0381999984383583,0.0368999987840652,0.0348999984562397,0.0248000007122755
5.1,0.0020999999251216,0.0035999999381601,0.0271000005304813,0.0483999997377395,0.0249000005424022,0.0364000014960765,0.0113000003620982,0.0087000001221895,0.0081000002101063,0.0059000002220273
6.3,0.0071000000461936,0.0044999998062849,0.0149999996647238,0.0460000000894069,0.0237000007182359,0.0337000004947185,0.0118000004440546,0.0120000001043081,0.0115999998524785,0.0085000004619359
5.8,0.0071000000461936,0.0044999998062849,0.0149999996647238,0.0460000000894069,0.0237000007182359,0.0337000004947185,0.0118000004440546,0.0120000001043081,0.0115999998524785,0.0085000004619359
8.6,0.0035999999381601,0.002199999988079,0.025000000372529,0.0452000014483928,0.0252999998629093,0.0372000001370906,0.0099999997764825,0.0118000004440546,0.0087000001221895,0.006000000052154
13.3,0.0015999999595806,0.0007999999797903,0.0233999993652105,0.0414999984204769,0.0285000000149011,0.036200001835823,0.0111999996006488,0.0111999996006488,0.010700000450015,0.0040000001899898
5.0,0.0015999999595806,0.0007999999797903,0.0233999993652105,0.0414999984204769,0.0285000000149011,0.036200001835823,0.0111999996006488,0.0111999996006488,0.010700000450015,0.0040000001899898
2.3,0.0028999999631196,0.003000000026077,0.0176999997347593,0.0397000014781951,0.0205000005662441,0.017400000244379,0.0059000002220273,0.0054999999701976,0.0046999999321997,0.0041999998502433
2.2,0.0028999999631196,0.003000000026077,0.0176999997347593,0.0397000014781951,0.0205000005662441,0.017400000244379,0.0059000002220273,0.0054999999701976,0.0046999999321997,0.0041999998502433
5.3,0.003400000045076,0.0031000000890344,0.0168999992311,0.0390999987721443,0.0236000008881092,0.0296999998390674,0.0087999999523162,0.0074000000022351,0.006000000052154,0.0044999998062849
2.9,0.0024000001139938,0.0015999999595806,0.0176999997347593,0.0346000008285045,0.0201999992132186,0.0228000003844499,0.0040000001899898,0.0055999998003244,0.0031999999191612,0.0019000000320374
7.3,0.0068999999202787,0.0041000000201165,0.0322999991476535,0.0351999998092651,0.0357999987900257,0.0344999991357326,0.0186999998986721,0.0176999997347593,0.0147000001743435,0.0148000000044703
6.4,0.0068999999202787,0.0041000000201165,0.0322999991476535,0.0351999998092651,0.0357999987900257,0.0344999991357326,0.0186999998986721,0.0176999997347593,0.0147000001743435,0.0148000000044703
6.7,0.0080000003799796,0.0065999999642372,0.0237000007182359,0.0331999994814395,0.031199999153614,0.031700000166893,0.0144999995827674,0.0140000004321336,0.0146000003442168,0.0093000000342726
7.0,0.0080000003799796,0.0065999999642372,0.0237000007182359,0.0331999994814395,0.031199999153614,0.031700000166893,0.0144999995827674,0.0140000004321336,0.0146000003442168,0.0093000000342726
4.9,0.0019000000320374,0.0024999999441206,0.0102000003680586,0.0199999995529651,0.0142000000923872,0.018300000578165,0.0046000001020729,0.0046000001020729,0.0044999998062849,0.0037000000011175
4.7,0.0019000000320374,0.0024999999441206,0.0102000003680586,0.0199999995529651,0.0142000000923872,0.018300000578165,0.0046000001020729,0.0046000001020729,0.0044999998062849,0.0037000000011175
