Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
MEX05216,2019-06-20,,,0.0005,,,55466.0,,,0.021,0.032859,5.8,,44372.8,32.0,10.0,7.7,BANCO LA ISLA,18.3722,-93.6192,Mexico,,0.174011,,,0.68299,0.0916,0.32,30.5,80.4,,,,0.2621,0.01,25.0,3.0,0.005,7.366,10.0,17329.0,0.5,0.001,0.005,31.9,0.629131,9.556,0.45512,0.0916,,,,,,,,539,0.11789999902248383,0.11270000040531158,0.12200000137090683,0.1467999964952469,0.14380000531673431,0.15189999341964722,0.12359999865293503,0.1265999972820282,0.10209999978542328,0.1265999972820282
MEX05222,2019-06-20,,,0.0005,,,57933.0,,,0.021,0.024682,7.5,,46346.4,32.5,10.0,7.9,MANATINERO,18.365,-93.6566,Mexico,,0.175961,,,2.998783,0.0945,0.32,31.0,104.7,,,,0.2445,0.01,25.0,3.0,0.005,8.295,10.0,1464.0,0.5,0.001,0.005,33.9,2.953101,10.11,2.77714,0.0729,,,,,,,,539,0.10970000177621841,0.10189999639987946,0.1152999997138977,0.14100000262260437,0.13779999315738678,0.14640000462532043,0.11599999666213989,0.1200999990105629,0.09539999812841415,0.11829999834299088
