Station,Date,Time,Alk-Tot,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,O2-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude
RUS00002,2018-05-21,,75.0,18.6,1.7,140.0,0.07,4.4,0.01,0.01,11.0,17.1,3.9,0.02,10.8,3.0,0.0106,8.2,Selenga River,52.0563888888889,106.667
RUS00002,2018-06-20,,73.0,18.9,1.4,150.0,0.04,4.5,0.01,0.01,10.9,7.8,4.4,0.02,20.1,3.0,0.0154,8.1,Selenga River,52.0563888888889,106.667
RUS00002,2018-07-19,,67.0,16.2,1.1,130.0,0.17,4.4,0.02,0.03,9.4,17.7,5.4,0.03,20.0,8.0,0.0112,7.3,Selenga River,52.0563888888889,106.667
RUS00002,2018-09-19,,83.0,21.7,1.5,150.0,0.17,5.2,0.03,0.05,14.0,17.2,5.5,0.02,11.6,8.0,0.0031,7.9,Selenga River,52.0563888888889,106.667
RUS00002,2018-11-20,,101.0,22.5,2.0,170.0,0.21,7.7,0.04,0.18,13.5,16.4,7.0,0.02,0.0,2.0,0.0076,7.7,Selenga River,52.0563888888889,106.667
RUS00002,2019-02-20,,100.0,23.8,2.0,180.0,0.04,6.7,0.11,0.24,8.0,16.2,6.4,0.04,0.0,2.0,0.0143,7.6,Selenga River,52.0563888888889,106.667
RUS00002,2019-04-18,,93.0,21.6,2.6,170.0,0.14,6.9,0.04,0.16,12.7,15.5,3.4,0.03,1.0,8.0,0.0095,7.8,Selenga River,52.0563888888889,106.667
RUS00002,2019-05-21,,81.0,19.1,2.2,170.0,0.11,6.0,0.02,0.05,9.9,14.7,4.0,0.02,11.0,8.0,0.0139,8.1,Selenga River,52.0563888888889,106.667
RUS00002,2019-06-19,,70.0,17.5,1.4,140.0,0.12,4.5,0.02,0.01,9.9,14.1,5.0,0.02,19.0,13.0,0.0172,8.1,Selenga River,52.0563888888889,106.667
RUS00002,2019-07-17,,87.0,22.1,2.0,150.0,0.19,5.2,0.02,0.01,11.3,18.1,5.5,0.04,22.0,30.0,0.0161,8.1,Selenga River,52.0563888888889,106.667
RUS00002,2019-09-18,,85.0,20.9,1.9,150.0,0.08,5.7,0.02,0.01,10.8,15.9,4.6,0.02,11.0,12.0,0.0167,7.9,Selenga River,52.0563888888889,106.667
RUS00002,2019-11-21,,140.0,32.1,3.8,230.0,0.09,9.7,0.07,0.05,13.4,22.5,5.9,0.03,0.0,3.0,0.0083,7.9,Selenga River,52.0563888888889,106.667
RUS00002,2020-02-19,,114.0,27.7,3.3,200.0,0.05,7.7,0.1,0.29,7.4,18.3,6.4,0.03,0.0,2.0,0.0122,7.4,Selenga River,52.0563888888889,106.667
RUS00002,2020-05-19,,85.0,21.6,2.2,150.0,0.06,5.1,0.03,0.01,10.2,19.2,2.5,0.02,11.9,6.0,0.0052,8.0,Selenga River,52.0563888888889,106.667
RUS00002,2020-06-17,,73.0,16.3,1.6,130.0,0.09,3.8,0.02,0.01,8.0,16.0,3.0,0.02,18.4,6.0,0.0064,8.0,Selenga River,52.0563888888889,106.667
RUS00002,2020-07-20,,67.0,18.2,1.5,140.0,0.29,3.6,0.03,0.04,7.8,14.5,5.8,0.06,19.0,18.0,0.0064,7.8,Selenga River,52.0563888888889,106.667
RUS00002,2020-09-29,,79.0,20.4,2.2,150.0,0.14,4.9,0.08,0.03,10.0,14.9,5.8,0.02,9.2,8.0,0.0073,7.8,Selenga River,52.0563888888889,106.667
RUS00002,2020-11-18,,104.0,24.2,3.6,220.0,0.12,7.4,0.01,0.03,12.7,19.4,6.6,0.03,0.0,2.0,0.0021,8.1,Selenga River,52.0563888888889,106.667
