TZA00013;2016-01-10;00:00;0.5;SO4-Tot;SO4-TURB;;3.14;mg/l;Fair
TZA00013;2016-01-10;00:00;0.5;TEMP;0;;26.4;°C;Fair
TZA00013;2016-01-10;00:00;0.5;Alk-Tot;0;;48.0;mg/l;Fair
TZA00013;2016-01-10;00:00;0.5;Fe-Tot;CPL-PHEN;;0.43;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;TDN;COL-AZO-Cd-PS;;0.854;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;TP;COL-AA-PPS;;0.07;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;TN;COL-AZO-Cd-PS;;0.86;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;Alk-Phen;0;;8.0;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;Ca-Tot;0;;5.61;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;Fe-Tot;CPL-PHEN;;0.45;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;Fe-Tot;CPL-PHEN;;0.08;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;Ca-Tot;0;;5.61;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;EC;EC-CND-FLD;;95.0;µS/cm;Fair
TZA00013;2016-01-10;00:00;11.0;TN;COL-AZO-Cd-PS;;0.16;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;Chl-a;0;;0.0099;mg/l;Fair
TZA00013;2016-01-10;00:00;5.0;Chl-a;0;;0.0134;mg/l;Fair
TZA00013;2016-01-10;00:00;5.0;pH;pH-POT-insitu;;8.58;---;Fair
TZA00013;2016-01-10;00:00;5.0;TSS;TSS-G;;8.0;mg/l;Fair
TZA00013;2016-01-10;00:00;5.0;TURB;NEPH;;3.4;NTU;Fair
TZA00013;2016-01-10;00:00;5.0;TDP;COL-AA-SA-PPS;;0.03;mg/l;Fair
TZA00013;2016-01-10;00:00;0.5;NO2N;COL-AZO;;0.05;mg/l;Fair
TZA00013;2016-01-10;00:00;0.5;TDS;TDS-G-105;;66.0;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;NH4N;COL-PHE;;0.04;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;TDS;TDS-G-105;;65.0;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;O2-Dis;O2-ISE;;5.94;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;TEMP;0;;26.0;°C;Fair
TZA00013;2016-01-10;00:00;1.0;Alk-Tot;0;;48.0;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;Mg-Tot;0;;4.37;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;Alk-Tot;0;;50.0;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;O2-Dis;O2-ISE;;5.57;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;NO3N;COL-AZO-Cd;;0.15;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;DIP;COL-AA;;0.23;mg/l;Fair
TZA00013;2016-01-10;00:00;5.0;O2-Dis;O2-ISE;;5.89;mg/l;Fair
TZA00013;2016-01-10;00:00;5.0;EC;EC-CND-FLD;;96.0;µS/cm;Fair
TZA00013;2016-01-10;00:00;5.0;TEMP;0;;25.4;°C;Fair
TZA00013;2016-01-10;00:00;5.0;Ca-Tot;0;;4.81;mg/l;Fair
TZA00013;2016-01-10;00:00;5.0;Mg-Tot;0;;5.83;mg/l;Fair
TZA00013;2016-01-10;00:00;0.5;TDP;COL-AA-SA-PPS;;0.03;mg/l;Fair
TZA00013;2016-01-10;00:00;0.5;pH;pH-POT-insitu;;8.34;---;Fair
TZA00013;2016-01-10;00:00;0.5;EC;EC-CND-FLD;;102.0;µS/cm;Fair
TZA00013;2016-01-10;00:00;0.5;Alk-Phen;0;;10.0;mg/l;Fair
TZA00013;2016-01-10;00:00;0.5;H-T;T-COL-EDTA-EBT;;30.0;mg/l;Fair
TZA00013;2016-01-10;00:00;2.0;SiO2-Rea;COL-HB;;4.3;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;NO3N;COL-AZO-Cd;;0.67;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;Chl-a;0;;0.0157;mg/l;Fair
TZA00013;2016-01-10;00:00;1.0;pH;pH-POT-insitu;;8.54;---;Fair
TZA00013;2016-01-10;00:00;1.0;EC;EC-CND-FLD;;100.0;µS/cm;Fair
TZA00013;2016-01-10;00:00;1.0;TURB;NEPH;;5.1;NTU;Fair
TZA00013;2016-01-10;00:00;1.0;H-T;T-COL-EDTA-EBT;;34.0;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;TDP;COL-AA-SA-PPS;;0.03;mg/l;Fair
TZA00013;2016-01-10;00:00;11.0;SO4-Tot;SO4-TURB;;4.83;mg/l;Fair
TZA00014;2016-01-10;12:00;;TEMP;TEMP-CND;;24.3;°C;Fair
TZA00014;2016-01-10;12:00;;pH;MZWQL-WI-7_8_002;;7.30666666666667;---;Fair
TZA00014;2016-01-10;12:00;;TURB;MZWQL-WI-7_2_007;;8.01666666666667;NTU;Fair
TZA00014;2016-01-10;12:00;;O2-Dis;MZWQL-WI-7_2_036;;4.71333333333333;mg/l;Fair
TZA00014;2016-01-10;12:00;;Alk-Tot;0;;56.6666666666667;mg/l;Fair
TZA00014;2016-01-10;12:00;;H-T;MZWQL-WI-7_2_010;;34.6666666666667;mg/l;Fair
TZA00014;2016-01-10;12:00;;NH4N;MZWQL-WI-7_2_006;;30.0;µg/l;Fair
TZA00014;2016-01-10;12:00;;Chl-a;MZWQL-WI-7_2_030;;24.5733333333333;µg/l;Fair
TZA00014;2016-01-10;12:00;;EC;MZWQL-WI-7_2_009;;115.0;µS/cm;Fair
TZA00014;2016-01-10;12:00;;TDS;MZWQL-WI-7_2_004;;74.3333333333333;mg/l;Fair
TZA00014;2016-01-10;12:00;;NO3N;MZWQL-WI-7_2_013;;751.466666666667;µg/l;Fair
TZA00014;2016-01-10;12:00;;Cl-Tot;0;;3.69666666666667;mg/l;Fair
TZA00014;2016-01-10;12:00;;NO2N;MZWQL-WI-7_2_016;;167.0;µg/l;Fair
TZA00014;2016-01-10;12:00;;SiO2-Dis;MZWQL-WI-7_2_024;;7183.33333333333;µg/l;Fair
TZA00014;2016-01-10;12:00;;DRP;MZWQL-WI-7_2_014;;20.0;µg/l;Fair
TZA00015;2016-01-07;00:00;2.5;SiO2-Rea;COL-HB;;0.53;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;NH4N;COL-PHE;;0.05;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;Alk-Tot;0;;60.0;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;EC;EC-CND-FLD;;111.0;µS/cm;Fair
TZA00015;2016-01-07;00:00;2.5;TURB;NEPH;;8.8;NTU;Fair
TZA00015;2016-01-07;00:00;2.5;SO4-Tot;SO4-TURB;;4.24;mg/l;Fair
TZA00015;2016-01-07;00:00;4.5;TSS;TSS-G;;53.3;mg/l;Fair
TZA00015;2016-01-07;00:00;4.5;NO3N;COL-AZO-Cd;;0.58;mg/l;Fair
TZA00015;2016-01-07;00:00;4.5;TDP;COL-AA-SA-PPS;;0.07;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;SiO2-Rea;COL-HB;;0.59;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;TSS;TSS-G;;16.7;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;TDS;TDS-G-105;;72.0;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;TN;COL-AZO-Cd-PS;;0.09;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;SO4-Tot;SO4-TURB;;4.0;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;Ca-Tot;0;;9.0;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;NO3N;COL-AZO-Cd;;0.65;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;SiO2-Rea;COL-HB;;0.7;mg/l;Fair
TZA00015;2016-01-07;12:00;;Cl-Tot;0;;3.72;mg/l;Fair
TZA00015;2016-01-07;00:00;10.0;DIP;COL-AA;;0.056;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;DIP;COL-AA;;0.03;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;DIP;COL-AA;;0.03;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;DIP;COL-AA;;0.03;mg/l;Fair
TZA00015;2016-01-07;00:00;4.5;DIP;COL-AA;;0.05;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;NO3N;COL-AZO-Cd;;0.75;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;H-T;T-COL-EDTA-EBT;;26.0;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;pH;pH-POT-insitu;;8.51;---;Fair
TZA00015;2016-01-07;00:00;2.5;TSS;TSS-G;;23.3;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;TDS;TDS-G-105;;72.0;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;TN;COL-AZO-Cd-PS;;0.08;mg/l;Fair
TZA00015;2016-01-07;00:00;4.5;NH4N;COL-PHE;;0.08;mg/l;Fair
TZA00015;2016-01-07;00:00;10.0;TDP;COL-AA-SA-PPS;;0.059;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;NO3N;COL-AZO-Cd;;0.79;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;TEMP;0;;26.8;°C;Fair
TZA00015;2016-01-07;00:00;0.5;TURB;NEPH;;8.5;NTU;Fair
TZA00015;2016-01-07;00:00;9.0;Chl-a;0;;0.0068;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;TN;COL-AZO-Cd-PS;;0.08;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;Alk-Tot;0;;68.0;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;NH4N;COL-PHE;;0.09;mg/l;Fair
TZA00015;2016-01-07;12:00;;SiO2-Dis;MZWQL-WI-7_2_024;;6056.66666666667;µg/l;Fair
TZA00015;2016-01-07;00:00;2.5;TDN;COL-AZO-Cd-PS;;0.078;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;TP;COL-AA-PPS;;0.0603;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;Chl-a;0;;0.0369;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;NO2N;COL-AZO;;4.0;mg/l;Fair
TZA00015;2016-01-07;00:00;4.5;TP;COL-AA-PPS;;0.0808;mg/l;Fair
TZA00015;2016-01-07;00:00;10.0;NO3N;COL-AZO-Cd;;0.49;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;Mg-Tot;0;;2.43;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;Ca-Tot;0;;7.21;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;H-T;T-COL-EDTA-EBT;;28.0;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;pH;pH-POT-insitu;;8.26;---;Fair
TZA00015;2016-01-07;00:00;0.5;Chl-a;0;;0.0378;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;NO2N;COL-AZO;;4.0;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;NO2N;COL-AZO;;30.0;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;TDS;TDS-G-105;;72.0;mg/l;Fair
