Chl-a,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
28.47,0.0147000001743435,0.0125000001862645,0.0500999987125396,0.0724999979138374,0.0375999994575977,0.0432999990880489,0.0251000002026557,0.024100000038743,0.0220999997109174,0.0206000003963708
16.77,0.0141000002622604,0.0110999997705221,0.0511000007390975,0.0714000016450882,0.0370000004768371,0.0362999998033046,0.0228000003844499,0.0232999995350837,0.0197000000625848,0.0182000007480382
14.3,0.0210999995470047,0.019200000911951,0.0588999986648559,0.0782999992370605,0.0432999990880489,0.0443999990820884,0.0306000001728534,0.031199999153614,0.0272000003606081,0.0272000003606081
4.64,0.0152000002562999,0.012699999846518,0.0472999997437,0.0531999990344047,0.0252999998629093,0.024100000038743,0.019200000911951,0.0210999995470047,0.0188999995589256,0.0175999999046325
0.77,0.0059000002220273,0.0038000000640749,0.0650999993085861,0.0662000030279159,0.0280000008642673,0.0249000005424022,0.0165999997407197,0.0170000009238719,0.0162000004202127,0.0113000003620982
8.27,0.0082000000402331,0.0043999999761581,0.0701000019907951,0.0923999994993209,0.0566999986767768,0.0649000033736229,0.0386999994516372,0.0403000004589557,0.0364999994635582,0.0309999994933605
24.83,0.0065999999642372,0.0040000001899898,0.0592000000178813,0.0712999999523162,0.0355999991297721,0.0337000004947185,0.0205000005662441,0.0198999997228384,0.017400000244379,0.0164000000804662
12.19,0.006000000052154,0.0038000000640749,0.065200001001358,0.0794000029563903,0.0375000014901161,0.0353999994695186,0.0230000000447034,0.0237000007182359,0.0205000005662441,0.0185000002384185
35.15,0.0089999996125698,0.0071999998763203,0.0416000001132488,0.063400000333786,0.0381999984383583,0.0406000018119812,0.019200000911951,0.0196000002324581,0.0203000009059906,0.0135000003501772
6.7,0.0027000000700354,0.0024999999441206,0.0252000000327825,0.0293000005185604,0.0074999998323619,0.006000000052154,0.0035000001080334,0.003000000026077,0.0049000000581145,0.002600000007078
88.92,0.0153999999165534,0.0141000002622604,0.0447999984025955,0.0671000033617019,0.049600001424551,0.0608000010251998,0.0291000008583068,0.0297999996691942,0.0262000001966953,0.0248000007122755
26.39,0.0190999992191791,0.0164000000804662,0.0461999997496604,0.0575000010430812,0.0432000011205673,0.0403000004589557,0.023199999704957,0.0252000000327825,0.0214000009000301,0.0208999998867511
36.51,0.016499999910593,0.0149999996647238,0.0558499991893768,0.0834499970078468,0.0664499998092651,0.0774499997496604,0.0402499996125698,0.0401000007987022,0.0318499989807605,0.0283499993383884
28.86,0.0070000002160668,0.0063999998383224,0.0377999991178512,0.0562999993562698,0.0310999993234872,0.0390000008046627,0.0168999992311,0.0172000005841255,0.0120000001043081,0.0105999996885657
8.03,0.0054000001400709,0.0057999999262392,0.0304000005125999,0.0359000004827976,0.0164000000804662,0.0146000003442168,0.0076999999582767,0.0063000000081956,0.0083999997004866,0.0066999997943639
7.92,0.0127999996766448,0.0105999996885657,0.0507999993860721,0.063799999654293,0.0373999997973442,0.0275999996811151,0.0163000002503395,0.017799999564886,0.0166999995708465,0.0143999997526407
69.27,0.0118000004440546,0.0099999997764825,0.06700000166893,0.0938000008463859,0.0612000003457069,0.0758000016212463,0.0394000001251697,0.0406000018119812,0.034400001168251,0.0285999998450279
63.91,0.0113000003620982,0.0093000000342726,0.0716999992728233,0.096000000834465,0.0631999969482421,0.0710000023245811,0.0342999994754791,0.0340999998152256,0.0288999993354082,0.0234999991953372
45.48,0.0103000001981854,0.0080000003799796,0.062399998307228,0.0806000009179115,0.0399000011384487,0.0403999984264373,0.0207000002264976,0.0199999995529651,0.0196000002324581,0.0160000007599592
70.64,0.002600000007078,0.00179999996908,0.0688999965786933,0.1044000014662742,0.0662999972701072,0.0864999964833259,0.0357999987900257,0.0351000018417835,0.0280000008642673,0.0208999998867511
45.97,0.0020000000949949,0.0012000000569969,0.0489999987185001,0.0706999972462654,0.0372000001370906,0.0443999990820884,0.017400000244379,0.0161000005900859,0.0127999996766448,0.0087000001221895
106.76,0.0041000000201165,0.002199999988079,0.0626000016927719,0.1005999967455864,0.066500000655651,0.0976999998092651,0.0449000000953674,0.0476000010967254,0.0351999998092651,0.0266999993473291
93.65,0.0041000000201165,0.0037000000011175,0.0549999997019767,0.0812000036239624,0.0504000000655651,0.0680000036954879,0.0299999993294477,0.0303000006824731,0.0225000008940696,0.017799999564886
69.37,0.0039499998092651,0.0031000000890344,0.0602499991655349,0.094200000166893,0.0640499964356422,0.0948000028729438,0.0434000007808208,0.0457499995827674,0.0355499982833862,0.0269499998539686
46.75,0.0028999999631196,0.0013999999500811,0.0568000003695488,0.0886000022292137,0.0461000017821788,0.0597000010311603,0.0230999998748302,0.0212999992072582,0.0142000000923872,0.0149999996647238
22.62,0.0041999998502433,0.0028999999631196,0.0570000000298023,0.0856999978423118,0.0388000011444091,0.0373000018298625,0.0163000002503395,0.0152000002562999,0.0133999995887279,0.009800000116229
25.22,0.0020999999251216,0.0020000000949949,0.046399999409914,0.0775000005960464,0.0377000011503696,0.0408000014722347,0.0142999999225139,0.0143999997526407,0.0130000002682209,0.0092000002041459
1.57910174773945,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.57910174773945,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.57910174773945,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.57910174773945,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.57910174773945,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.57910174773945,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.57910174773945,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
