IND00124;2020-10-01;00:00;0.3;Fe-Dis;0;;0.246;mg/l;Unknown
IND00124;2020-10-01;00:00;0.3;NO3N;0;;0.5;mg/l;Unknown
IND00124;2020-10-01;00:00;0.3;pH;0;;8.0;---;Unknown
IND00124;2020-10-01;00:00;0.3;TURB;0;;2.0;NTU;Unknown
IND00124;2020-01-09;00:00;0.3;B-Dis;0;;0.03;mg/l;Unknown
IND00124;2020-01-09;00:00;0.3;EC;0;;283.0;µS/cm;Unknown
IND00124;2020-08-05;00:00;0.3;TOTCOLI;0;;48.0;1/100 ml;Unknown
IND00124;2020-08-05;00:00;0.3;pH;0;;7.7;---;Unknown
IND00124;2019-12-14;00:00;0.3;pH;0;;7.7;---;Unknown
IND00124;2019-12-14;00:00;0.3;FECALCOLI;0;;2.0;1/100 ml;Unknown
IND00124;2020-05-01;00:00;0.3;F-Dis;0;;0.28;mg/l;Unknown
IND00124;2020-05-01;00:00;0.3;EC;0;;169.0;µS/cm;Unknown
IND00124;2020-05-01;00:00;0.3;B-Dis;0;;0.01;mg/l;Unknown
IND00124;2021-01-05;00:00;0.3;O2-Dis;0;;8.8;mg/l;Unknown
IND00124;2020-12-02;00:00;0.3;NO3N;0;;0.42;mg/l;Unknown
IND00124;2020-12-02;00:00;0.3;EC;0;;276.0;µS/cm;Unknown
IND00124;2018-02-27;00:00;0.3;FECALCOLI;0;;5.5;1/100 ml;Unknown
IND00124;2018-02-27;00:00;0.3;pH;0;;7.28;---;Unknown
IND00124;2018-01-31;00:00;0.3;pH;0;;7.85;---;Unknown
IND00124;2020-01-09;00:00;0.3;pH;0;;7.8;---;Unknown
IND00124;2020-01-09;00:00;0.3;TS;0;;1.0;mg/l;Unknown
IND00124;2019-03-27;00:00;0.3;O2-Dis;0;;9.5;mg/l;Unknown
IND00124;2019-03-27;00:00;0.3;pH;0;;7.3;---;Unknown
IND00124;2019-03-27;00:00;0.3;FECALCOLI;0;;6.0;1/100 ml;Unknown
IND00124;2020-06-03;00:00;0.3;O2-Dis;0;;8.9;mg/l;Unknown
IND00124;2020-06-03;00:00;0.3;NH4N;0;;0.0;mg/l;Unknown
IND00124;2020-06-03;00:00;0.3;pH;0;;7.8;---;Unknown
IND00124;2020-06-03;00:00;0.3;TOTCOLI;0;;58.0;1/100 ml;Unknown
IND00124;2019-06-27;00:00;0.3;O2-Dis;0;;9.0;mg/l;Unknown
IND00124;2020-09-01;00:00;0.3;TURB;0;;12.0;NTU;Unknown
IND00124;2020-09-01;00:00;0.3;BOD;0;;0.3;mg/l;Unknown
IND00124;2020-03-05;00:00;0.3;TOTCOLI;0;;27.0;1/100 ml;Unknown
IND00124;2020-03-05;00:00;0.3;FECALCOLI;0;;2.0;1/100 ml;Unknown
IND00124;2020-03-05;00:00;0.3;EC;0;;356.0;µS/cm;Unknown
IND00124;2019-02-12;00:00;0.3;FECALCOLI;0;;2.0;1/100 ml;Unknown
IND00124;2020-04-23;00:00;0.3;EC;0;;238.0;µS/cm;Unknown
